,Generation(kWh),GHI_sum,DNI_sum,DHI_sum,Temperature_mean,Temperature_max,Relative Humidity_mean,Wind Speed_mean,Cloud Type_mean,sin_day,cos_day
2024-07-03,107.8,3922,5349,1387,24.120833333333334,28.700000000000003,76.24083333333333,0.0,0.6666666666666666,-0.03432760051324313,-0.9994106342455054
2024-07-04,310.3,4031,5362,1194,24.137500000000003,29.700000000000003,69.22583333333334,0.0,0.5,-0.051478754770346045,-0.9986740898848305
2024-07-05,297.3,4915,7613,815,23.75,28.9,74.28666666666668,0.0,0.4166666666666667,-0.06861473800213432,-0.9976432316860063
2024-07-06,304.2,4673,6710,1054,24.599999999999998,29.6,79.175,0.0,0.5,-0.0857305001556945,-0.9963183634476755
2024-07-07,275.6,4131,5774,1260,24.695833333333336,28.9,75.58583333333333,0.0,1.5416666666666667,-0.10282099713736044,-0.9946998756145891
2024-07-08,334.8,4864,7477,793,24.8125,30.6,77.21291666666667,0.0,1.25,-0.11988119229922714,-0.99278824516254
2024-07-09,254.2,4195,5253,1493,24.795833333333334,29.700000000000003,80.25833333333334,0.0,1.2083333333333333,-0.13690605792347504,-0.990584035457797
2024-07-10,294.4,4314,5989,1215,25.066666666666666,30.200000000000003,78.30958333333334,0.0,0.6666666666666666,-0.15389057670406148,-0.9880878960910772
2024-07-11,315.3,4963,7573,811,24.833333333333332,29.9,79.74916666666667,0.0,0.16666666666666666,-0.17082974322534417,-0.985300562686109
2024-07-12,244.5,3138,2591,1838,24.400000000000002,29.1,79.745,0.0,1.3333333333333333,-0.1877185654371986,-0.9822228566828407
